id,title,description,tile,start,end,time_diff_days,notification_type
1f1cc83d-5f9a-4a0e-83b2-13c0242b3d84,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED: All dashboards have been refreshed successfully,ee323936-56e9-4868-bfb1-5e87f18105e5,2023-08-18 11:46:00,2023-08-18 14:46:00,0.125,minor
1f1cc83d-5f9a-4a0e-83b2-13c0242b3d84,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED: All dashboards have been refreshed successfully,dda834b4-d8c9-4d7f-b9cd-5c7985e79829,2023-08-18 11:46:00,2023-08-18 14:46:00,0.125,minor
1f1cc83d-5f9a-4a0e-83b2-13c0242b3d84,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED: All dashboards have been refreshed successfully,e3eef460-7250-4f43-a624-858066d2c8c3,2023-08-18 11:46:00,2023-08-18 14:46:00,0.125,minor
18284476-85f7-42fb-aa18-aecfdcdd0d1d,    ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Daily Squares, Salesperson Performance, Sales & GP, Daily Vinyl Siding. The current ETA is Noon, Central Time. We will update with a new notification upon resolution",374921ac-0601-4f03-be6b-bb700c116f35,2023-08-28 06:39:44,2023-08-28 12:00:38,0.22285847222222221,minor
18284476-85f7-42fb-aa18-aecfdcdd0d1d,    ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Daily Squares, Salesperson Performance, Sales & GP, Daily Vinyl Siding. The current ETA is Noon, Central Time. We will update with a new notification upon resolution",01796ba1-a152-4401-8342-4205f9c6bc7c,2023-08-28 06:39:44,2023-08-28 12:00:38,0.22285847222222221,minor
18284476-85f7-42fb-aa18-aecfdcdd0d1d,    ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Daily Squares, Salesperson Performance, Sales & GP, Daily Vinyl Siding. The current ETA is Noon, Central Time. We will update with a new notification upon resolution",72bd2290-59ce-4c19-b562-14ed28e3a210,2023-08-28 06:39:44,2023-08-28 12:00:38,0.22285847222222221,minor
18284476-85f7-42fb-aa18-aecfdcdd0d1d,    ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Daily Squares, Salesperson Performance, Sales & GP, Daily Vinyl Siding. The current ETA is Noon, Central Time. We will update with a new notification upon resolution",ee323936-56e9-4868-bfb1-5e87f18105e5,2023-08-28 06:39:44,2023-08-28 12:00:38,0.22285847222222221,minor
18284476-85f7-42fb-aa18-aecfdcdd0d1d,    ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Daily Squares, Salesperson Performance, Sales & GP, Daily Vinyl Siding. The current ETA is Noon, Central Time. We will update with a new notification upon resolution",dda834b4-d8c9-4d7f-b9cd-5c7985e79829,2023-08-28 06:39:44,2023-08-28 12:00:38,0.22285847222222221,minor
18284476-85f7-42fb-aa18-aecfdcdd0d1d,    ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Daily Squares, Salesperson Performance, Sales & GP, Daily Vinyl Siding. The current ETA is Noon, Central Time. We will update with a new notification upon resolution",e3eef460-7250-4f43-a624-858066d2c8c3,2023-08-28 06:39:44,2023-08-28 12:00:38,0.22285847222222221,minor
a16aa244-247f-44ac-93e6-671a5ba96a75,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Daily Squares, Salesperson Performance, Sales & GP, Daily Vinyl Siding. The current ETA is Noon, Central Time. We will update with a new notification upon resolution.",374921ac-0601-4f03-be6b-bb700c116f35,2023-08-29 06:31:22,2023-08-29 13:31:24,0.2916962962962963,minor
a16aa244-247f-44ac-93e6-671a5ba96a75,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Daily Squares, Salesperson Performance, Sales & GP, Daily Vinyl Siding. The current ETA is Noon, Central Time. We will update with a new notification upon resolution.",01796ba1-a152-4401-8342-4205f9c6bc7c,2023-08-29 06:31:22,2023-08-29 13:31:24,0.2916962962962963,minor
a16aa244-247f-44ac-93e6-671a5ba96a75,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Daily Squares, Salesperson Performance, Sales & GP, Daily Vinyl Siding. The current ETA is Noon, Central Time. We will update with a new notification upon resolution.",72bd2290-59ce-4c19-b562-14ed28e3a210,2023-08-29 06:31:22,2023-08-29 13:31:24,0.2916962962962963,minor
a16aa244-247f-44ac-93e6-671a5ba96a75,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Daily Squares, Salesperson Performance, Sales & GP, Daily Vinyl Siding. The current ETA is Noon, Central Time. We will update with a new notification upon resolution.",ee323936-56e9-4868-bfb1-5e87f18105e5,2023-08-29 06:31:22,2023-08-29 13:31:24,0.2916962962962963,minor
