Start Timestamp,Subject Area Name,Source Path,Dashboard Name,Dashboard Page,Error Text,User Name,title,Error Category,Stakeholder Classification,Parsed Dashboard Name
2024-09-17 15:39:09.000,Enterprise Data - Purchase Orders Dataset,/shared/Accounting Analytics/Rebate Reports/Reconciliation Reports/GAF NATIONAL,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'RESERVEPOONLY' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occ,JH203274,NSC Staff Accountant,Data Type & Value Errors,Data Issues,GAF NATIONAL
2024-09-17 15:39:37.000,Enterprise Data - Purchase Orders Dataset,/shared/Accounting Analytics/Rebate Reports/Reconciliation Reports/GAF NATIONAL,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'RESERVEPOONLY' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occ,JH203274,NSC Staff Accountant,Data Type & Value Errors,Data Issues,GAF NATIONAL
2024-09-18 12:00:14.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog - Receipts,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues,Catalog - Receipts
2024-09-18 12:00:14.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog Branch Receipts -w\/ item,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues, item
2024-09-18 12:00:27.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog - Receipts,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues,Catalog - Receipts
2024-09-18 12:00:30.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog Branch Receipts -w\/ item,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues, item
2024-09-18 12:00:46.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog - Receipts,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues,Catalog - Receipts
2024-09-18 12:00:48.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog Branch Receipts -w\/ item,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues, item
2024-09-18 18:19:04.000,Enterprise Data - Receipts Dataset,/users/bm073217/NON SKU/2024/incremental EOY/DIAMOND HILL-5032,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,CT074421,Accounting Analyst,Data Type & Value Errors,Data Issues,DIAMOND HILL-5032
2024-09-19 12:00:23.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog - Receipts,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues,Catalog - Receipts
